p80_http_get_headers_server,server_header_counter
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny13 with Suhosin-Patch mod_perl/2.0.4 Perl/v5.10.0,1
Kerio Connect 8.0.0,1
nginx/0.5.32,1
Apache/2.2.16 (Debian) PHP/5.4.45-1~dotdeb+6.1 mod_ssl/2.2.16 OpenSSL/0.9.8o,1
Apache/2.4.23 (FreeBSD) OpenSSL/1.0.1s-freebsd,1
Apache/2.4.16 (Win64) OpenSSL/1.0.1p mod_jk/1.2.40,1
Apache/2.4.10 (Fedora),1
Apache/2.4.6 (CentOS) PHP/5.6.25,1
Apache/2.4.4 (Win64),1
debut/1.20,1
CommuniGatePro/6.0.7,1
Unknown/0.0 UPnP/1.0 GlobespanVirata-EmWeb/R6_1_0,1
Apache/2.2.22 (Debian) mod_ssl/2.2.22 OpenSSL/1.0.1e,1
Apache/2.4.12 (Win32) OpenSSL/1.0.1l PHP/5.5.24,1
Apache/2.2.4 (Mandriva Linux/PREFORK-6mdv2007.1),1
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.5.21,1
Kerio MailServer 6.7.3 patch 1,1
Apache/2.2.4 (Win32) mod_ssl/2.2.4 OpenSSL/0.9.8k PHP/5.3.1,1
Axigen-Webmail,1
Apache/2.2.9 (Win32) PHP/5.2.6,1
nginx/1.0.13,1
Apache/2.2.21 (Win32) PHP/5.2.6,1
Apache/2.2.26 (Win32) PHP/5.3.10,1
Apache/2.4.23 (Unix) PHP/5.6.24 mod_perl/2.0.8-dev Perl/v5.16.3,1
Apache/2.0.63 (Unix) mod_ssl/2.0.63 OpenSSL/0.9.8e-fips-rhel5 PHP/5.2.5 mod_jk/1.2.26,1
lighttpd/1.4.20,1
Apache/2.2.21 (Win32) PHP/5.3.5,1
Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.5.30,1
EMS,1
Apache/2.2.3 (Oracle),1
dhcpsrv,1
Apache-AdvancedExtranetServer/1.3.33 (Mandrakelinux/6mdk) PHP/4.3.10,1
Apache/2.4.23 (Win64) PHP/5.6.25,1
Apache/2.2.9 (Debian) PHP/5.2.17-0.dotdeb.0 with Suhosin-Patch mod_ssl/2.2.9 OpenSSL/0.9.8g,1
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g DAV/2 SVN/1.5.1,1
nginx/1.9.6,1
Apache/1.3.27 (Win32) PHP/4.1.1,1
Apache/2.2.22 (CentOS),1
Apache/2.2.16 (Unix) PHP/5.2.14 mod_ssl/2.2.16 OpenSSL/0.9.7a,1
Apache/2.2.12 (Ubuntu),1
Apache/2.2.9 (Debian) PHP/5.3.3-7+squeeze3 with Suhosin-Patch,1
"Hewlett-Packard, Co.",1
Apache/2.2.22 (Win32) mod_ssl/2.2.25 OpenSSL/0.9.8y,1
Kerio MailServer 6.7.0 patch 1,1
Oracle-Application-Server-10g/10.1.2.0.2 Oracle-HTTP-Server,1
Apache/2.2.9 (Win32) PHP/5.2.9-2,1
Resin/4.0.30,1
Apache/2.2.13 (Win32),1
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_auth_kerb/5.4 mod_fcgid/2.3.9 mod_nss/2.4.6 NSS/3.16.2.3 Basic ECC PHP/5.5.29 mod_wsgi/3.4 Python/2.7.5,1
Apache/2.2.31 (Debian),1
Apache/2.2.6 (Unix),1
TwistedWeb/12.0.0,1
Eudemon Server 1.0,1
Apache/2.4.23 (Fedora) OpenSSL/1.0.2j-fips PHP/5.6.27,1
Virata-EmWeb/R6_2_0,1
Apache/2.4.4 (Win64) OpenSSL/1.0.0e,1
Apache/2.2.15 (Win32) PHP/5.3.2,1
gunicorn/0.16.1,1
Apache/1.3.29 (Win32) PHP/4.3.4,1
Internal Web Server,1
Apache/2.2.24 (Unix) mod_ssl/2.2.24 OpenSSL/1.0.0-fips mod_bwlimited/1.4 PHP/5.2.17,1
Apache/1.3.34 (Unix) rus/PL30.22,1
Apache/2.4.20 (Win64),1
mini_httpd/1.21 18oct2014,1
Apache/2.2.17 (Win32) mod_ssl/2.2.17 OpenSSL/0.9.8q mod_jk/1.2.31,1
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g mod_python/3.3.1 Python/2.5.2,1
Apache/2.2.22 (Win32) mod_jk/1.2.37,1
ProCurve Web Server,1
Apache/2.2.13 (Unix) DAV/2 PHP/5.5.6,1
gSOAP/2.8,1
Planar Zenit,1
Mbedthis-AppWeb/2.3.15,1
ConfD,1
Apache/2.2.31 (Unix) DAV/2 mod_mono/2.10 PHP/5.6.14 mod_ssl/2.2.31 OpenSSL/1.0.2h,1
Apache/2.4.9,1
webserver,1
VidicorHTTPd/1.0 (Win32),1
Apache/2.2.6 (CentOS),1
Kerio Connect 7.2.4,1
nginx/1.0.0,1
nginx/1.7.12,1
Apache/2.2.16 (Debian) mod_ssl/2.2.16 OpenSSL/0.9.8o mod_fcgid/2.3.5,1
Serv-U/14.0.1.0,1
Apache/2.2.15 (Win32) PHP/5.2.6,1
nginx + Phusion Passenger 5.0.21,1
Apache/2.2.23 (Unix) mod_ssl/2.2.23 OpenSSL/1.0.0-fips mod_bwlimited/1.4,1
btku-sw-22,1
NCMPS,1
CCProxy,1
Apache/2.2.16 (Win32) PHP/5.4.11,1
Apache/2.2.31 (CentOS),1
ARH HTTP Server,1
Apache/2.2.15 (CentOS) DAV/2 PHP/5.3.3,1
Apache/2.2.25 (Win32) PHP/5.4.9,1
Apache/2.2.9 (Ubuntu) PHP/5.2.6-2ubuntu4.6 with Suhosin-Patch,1
Apache/2.2.3 (Debian) mod_ssl/2.2.3 OpenSSL/0.9.8c mod_perl/2.0.2 Perl/v5.8.8,1
PRTG/15.4.21.5481,1
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny8 with Suhosin-Patch,1
Apache/1.3.37 (Unix) PHP/4.4.7,1
Kerio Connect 8.0.1,1
Apache/2.2.25 (Win32) PHP/5.3.27 mod_jk/1.2.18,1
nginx + Phusion Passenger 4.0.53,1
Apache/2.2.31 (FreeBSD) PHP/5.5.30 mod_ssl/2.2.31 OpenSSL/1.0.1l-freebsd DAV/2,1
JAWS/1.0 Apr 24 2015,1
nginx/1.8.0 + Phusion Passenger 5.0.23,1
Apache/2.2.26 (FreeBSD) PHP/5.3.28 with Suhosin-Patch mod_ssl/2.2.26 OpenSSL/0.9.8q,1
Apache/2.4.16 (Win64) mod_jk/1.2.41,1
RepliconWebTimeSheet/6.5,1
Apache/2.2.15 (Win32) PHP/5.2.9-1,1
Apache/2.2.26 (Unix) PHP/5.3.28 mod_wsgi/3.3 Python/2.7.2 mod_ssl/2.2.26 OpenSSL/0.9.8za DAV/2,1
Apache/2.4.6 (Sangoma) OpenSSL/1.0.1e-fips PHP/5.6.25,1
Apache/2.2.24 (FreeBSD) PHP/5.2.17 with Suhosin-Patch mod_ssl/2.2.9 OpenSSL/0.9.7e-p1 DAV/2,1
Kucci,1
Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 PHP/5.3.29,1
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips SVN/1.7.14,1
Apache/2.0.50 (Win32) mod_jk2/2.0.4 PHP/5.0.2-dev,1
Kerio MailServer 6.7.1,1
Jetty(6.1.x),1
Apache/2.2.17 (Win32) PHP/5.2.16,1
nginx/1.5.7,1
Kerio Connect 9.0.4 patch 1,1
Apache/2.2.11 (Win32) PHP/5.3.0,1
Apache/2.4.23 (Win32),1
nginx/1.8.1 + Phusion Passenger 5.0.26,1
Apache/2.2.21 (Linux/SUSE),1
Apache/2.2.17 (FreeBSD) mod_ssl/2.2.17 OpenSSL/0.9.8q PHP/5.3.5 with Suhosin-Patch,1
Apache/2.4.12 (Scientific Linux) OpenSSL/1.0.1e-fips PHP/5.6.5,1
nginx/1.5.2,1
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny13 with Suhosin-Patch mod_ssl/2.2.9 OpenSSL/0.9.8g,1
Apache/2.2.16 (Debian) mod_ssl/2.2.16 OpenSSL/0.9.8o mod_jk/1.2.30 mod_fcgid/2.3.6,1
JAWS/1.0 May 26 2014,1
Apache/2.2.23 (Win32) PHP/5.3.16,1
Jetty(9.0.3.v20130506),1
WebServer 1.4,1
eHTTP v2.0,1
Apache/2.2.9 (Debian) PHP/5.2.13-0.dotdeb.0 with Suhosin-Patch,1
dvrhost_mini_web_server/1.0,1
Apache/2.2.15 (Unix) mod_ssl/2.2.15 OpenSSL/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 FrontPage/5.0.2.2635,1
AIS Business Intelligence,1
nginx/1.9.8,1
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16 SVN/1.7.14,1
Apache/2.2.15 (FreeBSD) mod_ssl/2.2.15 OpenSSL/0.9.8n DAV/2 PHP/5.2.13 with Suhosin-Patch,1
Apache/1.3.34 (Win32) PHP/4.3.4,1
Apache/2.2.3 (Debian) PHP/5.3.3-7+squeeze1 with Suhosin-Patch,1
nginx/1.6.1 + Phusion Passenger 4.0.50,1
Apache/2.2.3 (Debian) PHP/5.2.0-8+etch11,1
Apache/2.2.29 (FreeBSD) mod_ssl/2.2.29 OpenSSL/1.0.1s-freebsd PHP/5.3.29 with Suhosin-Patch mod_perl/2.0.9 Perl/v5.20.3,1
Boa/0.94.14rc18-ipcam,1
Apache/2.2.14 (Unix) mod_ssl/2.2.14 OpenSSL/0.9.8e-fips-rhel5 PHP/5.2.11 mod_jk/1.2.37,1
Apache/2.4.12 (Win32) PHP/5.6.22,1
nginx/1.5.12,1
Apache/2.2.19 (Unix) mod_ssl/2.2.19 OpenSSL/0.9.8o DAV/2 SVN/1.6.17,1
Apache/2.2.14 (Win32) mod_ssl/2.2.14 OpenSSL/0.9.8k Line-Edit/1.0.0,1
Allegro-Software-RomPager/4.04,1
Apache/2.0.63 (Win32) PHP/5.2.5,1
Apache/2.0.54 (Debian GNU/Linux) PHP/4.4.2-1+b1 mod_ssl/2.0.54 OpenSSL/0.9.7e,1
Apache/2.2.15 (CentOS) DAV/2,1
Kerio Connect 7.4.0,1
Lanswitch - V100R003 HttpServer 1.1,1
CommuniGatePro/6.1.10,1
Apache mod_fcgid/2.3.9,1
Apache/2.2.18 (Win32) PHP/5.2.17,1
Apache/2.2.8 (Ubuntu) PHP/5.2.4-2ubuntu5.26 with Suhosin-Patch mod_ruby/1.2.6 Ruby/1.8.6(2007-09-24) mod_ssl/2.2.8 OpenSSL/0.9.8g,1
Apache/1.3.34 (Debian) PHP/4.4.4-8+etch6,1
Apache/2.2.26 (Unix) DAV/2 PHP/5.3.28 with Suhosin-Patch,1
Apache/2.2.2 (Fedora),1
Werkzeug/0.9.4 Python/2.7.6,1
Apache/2.2.17 (FreeBSD) mod_ssl/2.2.17 OpenSSL/0.9.8q DAV/2 PHP/5.3.3 with Suhosin-Patch,1
Apache/2.4.20 (FreeBSD) PHP/5.6.22,1
"Linux, HTTP/1.1, DIR-850L Ver 1.10WW",1
Apache/2.4.6 (CentOS) PHP/5.6.14,1
Apache/2.4.10 (FreeBSD) PHP/5.6.3,1
Apache/2.4.16 (Win64) OpenSSL/1.0.1p,1
Apache/2.4.23 (Unix) PHP/5.6.25,1
Apache/1.3.34 (Unix) PHP/5.3.5 with Suhosin-Patch,1
Apache/2.0.64 (Win32) PHP/5.2.17,1
Apache/2.2.24 (FreeBSD) PHP/5.3.22 with Suhosin-Patch,1
Apache/2.2.26 (Win32) mod_jk/1.2.37,1
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g mod_perl/2.0.4 Perl/v5.10.0,1
Apache/2.4.9 (Win32) OpenSSL/1.0.1f PHP/5.4.9,1
Apache/2.0.63 (Win32) mod_ssl/2.0.63 OpenSSL/0.9.8e,1
Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/1.0.1e-fips mod_auth_passthrough/2.1 mod_bwlimited/1.4,1
Apache/2.2.31 (FreeBSD) PHP/5.6.27 mod_scgi/1.15 mod_ssl/2.2.31 OpenSSL/0.9.8x DAV/2,1
Apache/2.2.25 (Win32) DAV/2 PHP/5.2.8,1
Apache/2.2.22 (Win32) mod_ssl/2.2.22 OpenSSL/0.9.8t PHP/5.4.31,1
lighttpd/1.4.18,1
Embedthis-Appweb/3.2.3,1
nginx/0.6.35,1
Apache/1.3.27 (Unix) rus/PL30.17,1
nginx/1.6.2-translator,1
Apache/2.2.21 (Win32) mod_ssl/2.2.21 OpenSSL/0.9.8r PHP/5.3.29,1
embOS/IP,1
Apache/2.4.16 (Unix) OpenSSL/1.0.1i-fips Phusion_Passenger/5.0.16,1
Apache/2.2.23 (FreeBSD) DAV/2,1
thttpd/2.23beta1 26may2002,1
HP-ChaiSOE/1.0,1
Apache/2.2.6 (Win32) PHP/5.4.31,1
Apache/1.3.39 (Unix) PHP/4.4.7,1
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny2 with Suhosin-Patch mod_ssl/2.2.9 OpenSSL/0.9.8g,1
nginx/0.9.6,1
Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.1e-fips PHP/5.4.16,1
Apache/2.2.21 (CentOS),1
Fastream NETFile Web Server 7,1
Apache/2.2.21 (FreeBSD) mod_ssl/2.2.21 OpenSSL/0.9.8q DAV/2 PHP/5.2.17 with Suhosin-Patch,1
Apache/2.2.16 (Win32) mod_ssl/2.2.16 OpenSSL/0.9.8o PHP/5.2.14,1
Kerio Connect 8.4.0,1
Apache/1.3.39 (Unix) PHP/5.2.5 with Suhosin-Patch mod_ssl/2.8.30 OpenSSL/0.9.8g,1
Apache/2.2.31 (Win32) mod_ssl/2.2.31 OpenSSL/1.0.2j PHP/5.4.19,1
Apache/2.4.9 (Win32) OpenSSL/1.0.1h PHP/5.4.30,1
Apache/2.2.16 (Debian) mod_ssl/2.2.16 OpenSSL/0.9.8o mod_perl/2.0.2 Perl/v5.8.8,1
Apache/2.2.6 (Unix) PHP/5.2.5,1
LANCOM 1781A 8.50.0161 / 09.08.2011,1
Apache/2.2.17 (Win32) PHP/5.2.0,1
Serv-U/15.0.0.0,1
Apache/2.2.8 (Ubuntu) PHP/5.2.4-2ubuntu5.27 with Suhosin-Patch,1
Apache/2.4.10 (Raspbian) mod_fcgid/2.3.9 OpenSSL/1.0.1k mod_wsgi/4.3.0 Python/2.7.9,1
Apache/2.4.10 (Debian) SVN/1.8.10 mod_ldap_userdir/1.1.19 OpenSSL/1.0.1t,1
Apache/2.2.25 (Win32) PHP/5.3.29,1
nginx/1.0.15 + Phusion Passenger 3.0.12 (mod_rails/mod_rack),1
HFS 2.3g,1
Apache/2.4.23 (FreeBSD) PHP/5.6.25,1
nginx/1.1.7,1
Apache/2.2.31 (Win32) mod_jk/1.2.31,1
Apache/2.2.16 (Win32) mod_ssl/2.2.16 OpenSSL/0.9.8o PHP/5.2.12,1
Apache/1.3.28 Ben-SSL/1.52 (Unix) PHP/4.3.7,1
Apache/2.2.26 (FreeBSD) mod_klwi/2.4 mod_ssl/2.2.26 OpenSSL/0.9.8y DAV/2,1
Apache/2.2.16 (Debian) DAV/2 SVN/1.6.12 mod_fastcgi/2.4.6 mod_ssl/2.2.16 OpenSSL/0.9.8o,1
Apache/2.4.4 (Unix) mod_jk/1.2.41 OpenSSL/1.0.0e mod_wsgi/4.3.0 Python/2.7.6,1
xxxxxxxx,1
Apache/2.2.21 (Win32) PHP/5.3.8 mod_ssl/2.2.21 OpenSSL/1.0.0e mod_perl/2.0.4 Perl/v5.10.1,1
Apache/2.2.17 (Win32) PHP/5.2.14,1
nginx/1.0.9,1
lighttpd/1.4.35-devel-14013M,1
squid/3.5.19,1
Apache/2.2.11 (Ubuntu) PHP/5.2.6-3ubuntu4.6 with Suhosin-Patch mod_python/3.3.1 Python/2.6.2 mod_ruby/1.2.6 Ruby/1.8.7(2008-08-11),1
Apache/2.4.18 (FreeBSD) PHP/5.6.18,1
Apache/2.4.10 (FreeBSD) OpenSSL/1.0.1j-freebsd PHP/5.4.35 mpm-itk/2.4.7-02,1
Apache/2.2.17 (Win32) PHP/4.4.4,1
squid,1
TP-LINK HTTPD/1.0,1
Wing FTP Server(UNREGISTERED),1
Apache/2.2.17 (Win32) PHP/5.3.5,1
Apache/2.2.19 (Unix) mod_ssl/2.2.19 OpenSSL/0.9.8y DAV/2,1
Apache/2.0.55 (Unix) PHP/4.3.11,1
nginx-catap/1.1.0,1
Apache/2.2.11 (Win32) PHP/5.4.8,1
Apache/2.0.63 (Unix) PHP/5.5.27,1
Traffic Inspector HTTP/FTP/Proxy server (2.0.1.724),1
Apache/2.2.22 (Win32) PHP/5.4.14,1
Apache/2.2.16 (Debian) PHP/5.3.3-7+squeeze19 with Suhosin-Patch mod_ssl/2.2.16 OpenSSL/0.9.8o,1
Apache/2.2.22 (Win32) mod_fcgid/2.3.6,1
Allegro-Software-RomPager/4.01,1
Apache/2.2.17 (Win32) PHP/5.2.10,1
Apache/2.2.4 (Win32) PHP/5.2.12,1
Apache/2.2.9 (Win32) DAV/2 mod_ssl/2.2.9 OpenSSL/0.9.8i mod_autoindex_color PHP/5.2.6,1
Apache/2.4.12 (Win32) PHP/5.6.5,1
Apache/2.2.3 (Win32) PHP/5.2.5,1
Kerio Embedded WebServer 1.0,1
Mathopd/1.5p8,1
Apache/2.4.10 (Debian) mod_fcgid/2.3.9 OpenSSL/1.0.1k,1
nginx/1.4.4 + Phusion Passenger 4.0.37,1
Apache/2.2.14 (Win32) PHP/5.2.5,1
Apache/2.4.18 (Unix) OpenSSL/1.0.2g PHP/5.6.20 mod_perl/2.0.8-dev Perl/v5.16.3,1
Kerio MailServer 6.1.3,1
Kerio MailServer 6.3.1,1
nginx/1.0.12,1
lighttpd/1.4.24,1
nginx/1.5.0,1
Kerio Connect 9.2.0,1
Huawei-BMC,1
Apache/2.2.22 (Win32) PHP/5.3.9,1
Apache/2.2.25 (FreeBSD) PHP/5.4.17 mod_ssl/2.2.25 OpenSSL/0.9.8y,1
lighttpd/1.4.25,1
Apache/2.2.25 (FreeBSD) mod_ssl/2.2.25 OpenSSL/0.9.8y DAV/2,1
Apache/2.2.8 (Win32),1
Apache/2.4.10 (Debian) OpenSSL/1.0.1t,1
Apache/1.3.42 (Unix) PHP/5.2.6,1
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_wsgi/3.4 Python/2.7.5,1
Apache/2.4.12 (Win64) PHP/5.6.10,1
Apache/2.2.22 (Win32) mod_ssl/2.2.22 OpenSSL/1.0.1a PHP/5.2.10,1
Apache/2.2.22 (Debian) PHP/5.4.4-14+deb7u2,1
Kerio Connect 7.3.2,1
Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.13,1
Jigsaw 2.2.6,1
Indy/8.0.25,1
Apache/2.4.12 (Win32) PHP/5.6.8 mod_wsgi/4.4.10 Python/2.7.9,1
IPCamera-Web,1
Apache/2.4.20 (Win32) PHP/5.6.20,1
Apache/2.4.16 (Win64) OpenSSL/1.0.1p PHP/5.5.28,1
Apache/2.4.23 (Unix) PHP/7.0.12,1
Oracle HTTP Server Powered by Apache/1.3.12 (Win32) ApacheJServ/1.1 mod_ssl/2.6.4 OpenSSL/0.9.5a mod_perl/1.24,1
Apache/2.2.19 (CentOS),1
Apache/2.2.23 (Amazon),1
Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_fcgid/2.3.6,1
Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.5.34,1
Apache/2.2.31 (FreeBSD) PHP/5.3.29 with Suhosin-Patch,1
nginx/1.5.9,1
Lighttpd,1
Apache/2.4.23 (Win64) PHP/5.6.26,1
lighttpd/1.4.29,1
Apache/2.2.16 (Unix) PHP/5.2.14,1
nginx/1.0.11 + Phusion Passenger 3.0.11 (mod_rails/mod_rack),1
Apache/2.2.22 (EL),1
Apache/2.4.10 (Win32) OpenSSL/1.0.1i PHP/5.6.3,1
apache,1
nginx centminmod,1
Corrigo Webserver,1
Apache/1.3.0 rus/PL25.8 (OS/2),1
nginx/1.7.10,1
KM-MFP-http/V0.0.1,1
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny3 with Suhosin-Patch mod_ssl/2.2.9 OpenSSL/0.9.8g,1
Apache/2.4.23 (Win64) OpenSSL/1.0.2j PHP/5.6.19,1
Apache/2.2.11 (Win32) PHP/5.2.6,1
Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.6.26,1
Apache/2.2.4 (Win32) PHP/5.2.0,1
nginx/0.7.69,1
Apache/2.4.10 (Win32) PHP/5.5.19,1
Apache/2.2.19 (Win64) PHP/5.3.10,1
Apache/2.4.9 (Win32) OpenSSL/0.9.8y PHP/5.4.27,1
Apache/2.2.26 (Unix) mod_ssl/2.2.26 OpenSSL/1.0.0-fips mod_auth_passthrough/2.1 mod_bwlimited/1.4 FrontPage/5.0.2.2635,1
squid/2.5.STABLE6,1
Apache/2.2.27 (Win32) mod_ssl/2.2.27 OpenSSL/1.0.1g,1
"HP HTTP Server; HP Photosmart B110 series - CN245C; Serial Number: CN059172XF05J8; Chiplus_usr_hf Built:Tue Nov 06, 2012 11:45:41AM {CHL1FN1244AR, ASIC id 0x00280004}",1
Apache/2.2.19 (Win32) PHP/5.2.9,1
Apache/2.4.18,1
Apache/2.4.16 (Debian),1
Apache/2.4.10 (FreeBSD) SVN/1.8.10,1
Lotus-Domino/4.6,1
"HP HTTP Server; HP DeskJet 4670 series - F1H97C; Serial Number: TH585191F30663; Built:Mon Apr 18, 2016 10:19:42AM {CEP1FN1617AR}",1
Go ReverseProxy,1
Apache/2.4.9 (Win32) PHP/5.3.28,1
Apache/2.0.64 (Win32) mod_jk/1.2.37,1
WebServer/4.6.2.0,1
AcIDSoftWebServer/0.1b,1
Apache/2.2.29 (Win64) mod_ssl/2.2.29 OpenSSL/1.0.1l,1
lighttpd/1.4.28-devel-3831,1
Apache/2.4.12 (Win32) OpenSSL/1.0.1m mod_wsgi/4.4.11 Python/2.7.9,1
Apache/2.2.29 (Linux/SUSE),1
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8o,1
CarelDataServer/1.5.1.0,1
Apache/2.4.12 (Win32) PHP/5.4.42,1
Apache/2.2.17 (FreeBSD) mod_ssl/2.2.17 OpenSSL/0.9.8e DAV/2 PHP/5.3.5 with Suhosin-Patch,1
Apache/2.2.8 (Win32) mod_ssl/2.2.8 OpenSSL/0.9.8g PHP/5.2.5,1
Apache/2.4.10 (Fedora) PHP/5.5.23,1
Apache/2.4.10 (Debian) mod_jk/1.2.37 OpenSSL/1.0.1t mod_wsgi/4.3.0 Python/3.4.2,1
nginx/1.6.2 + Phusion Passenger 5.0.1,1
JAWS/1.0 Jul 11 2013,1
Kerio Connect 8.4.3,1
Apache/2.2.31 (Win32) mod_ssl/2.2.31 OpenSSL/1.0.2h PHP/5.3.18,1
Apache/2.4.6 (CentOS) SVN/1.7.14,1
Apache/2.4.10 (Unix) OpenSSL/0.9.8j-fips,1
Apache/2.2.17 (Win32) mod_ssl/2.2.17 OpenSSL/0.9.8o PHP/5.3.4,1
Apache/2.2.22 (Win32) mod_ssl/2.2.22 OpenSSL/0.9.8t PHP/5.2.17,1
Apache/2.4.18 (Unix) PHP/5.6.17 mod_perl/2.0.9 Perl/v5.10.1,1
JAWS/1.0 Apr  9 2016,1
Indy/DevSnapshot,1
Apache/2.4.2 (Win64) PHP/5.6.12,1
thttpd/2.19-MX Jul 11 2012,1
Apache/2.4.10 (FreeBSD) OpenSSL/1.0.2d PHP/5.5.16,1
Apache/2.0.63FTF (NETWARE) mod_jk/1.2.23,1
Apache/2.2.9 (Debian) PHP/5.2.6-1+lenny3 with Suhosin-Patch,1
Apache/2.4.23 (Win64) OpenSSL/1.0.2h PHP/5.5.38,1
Apache/2.0.64 (Win32) PHP/5.2.9,1
nginx/1.4.5,1
Apache/2.2.22 (FreeBSD) PHP/5.4.6 mod_ssl/2.2.22 OpenSSL/0.9.8x DAV/2,1
lighttpd/1.4.35 - for Bit Web Server,1
Apache/2.4.6 (CentOS) mpm-itk/2.4.7-01 PHP/5.4.16,1
Apache/2.4.23 (Win64) PHP/7.0.9,1
Apache/2.2.4 (Ubuntu) PHP/5.2.3-1ubuntu6.5,1
Apache/2.4.23 (Unix) OpenSSL/1.0.2j SVN/1.9.4 PHP/7.0.12,1
HOSTER.BY/6.1.11,1
Apache/2.0.63 (FreeBSD) PHP/5.4.7,1
Apache/2.2.21 (Win32) mod_ssl/2.2.21 OpenSSL/1.0.0e PHP/5.3.10 mod_perl/2.0.4 Perl/v5.10.1,1
Kerio Connect 9.1.0,1
Server v1.0,1
thttpd,1
Apache/2.2.25 (Win32) PHP/5.2.0-dev,1
Kerio Connect 7.4.2,1
Apache/2.2.19 (Win32),1
Apache/2.2.19 (Win32) PHP/5.3.28,1
"Oracle-Application-Server-11g Oracle-Web-Cache-11g/11.1.1.6.0 (N;ecid=2528858268372338,0:1)",1
Apache/2.4.23 (Unix) OpenSSL/1.0.2h PHP/5.6.24 mod_perl/2.0.8-dev Perl/v5.16.3,1
Apache/2.2.3 (Debian) PHP/5.2.0-8+etch10,1
squid/3.2.9,1
Apache/2.4.16 (FreeBSD) OpenSSL/1.0.1l-freebsd PHP/5.6.11,1
squid/3.5.10,1
Serv-U/15.1.1.108,1
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8o mod_fcgid/2.3.5,1
Apache/2.4.12 (Unix) OpenSSL/1.0.1m SVN/1.7.14 PHP/5.6.8 mod_perl/2.0.8-dev Perl/v5.16.3,1
eWON,1
Apache/2.2.21 (Win32) PHP/5.4.11,1
Apache/2.4.9 (Win64) PHP/5.4.12,1
Apache/2.2.27 (Unix) mod_jk/1.2.40,1
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips Phusion_Passenger/5.0.20,1
Apache/2.2.8 (Ubuntu) DAV/2 SVN/1.4.6 mod_fastcgi/2.4.6 mod_jk/1.2.25 PHP/5.2.4-2ubuntu5.10 with Suhosin-Patch Phusion_Passenger/2.2.10,1
Apache/2.2.16 (Unix) mod_ssl/2.2.16 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4 mod_perl/2.0.4 Perl/v5.8.8,1
Kerio MailServer 6.4.1,1
Apache/2.4.4 (Win64) PHP/5.4.12,1
Apache/2.2.4 (Win32) mod_ssl/2.2.4 OpenSSL/0.9.8k PHP/5.3.3,1
Apache/2.4.18 (Win64),1
SAP NetWeaver Application Server 7.21 / AS Java 7.30,1
WSGIServer/0.1 Python/2.7.6,1
OpenAS,1
Apache/2.4.6 (Red Hat Enterprise Linux) OpenSSL/1.0.2h-fips mod_jk/1.2.41,1
H264WebCam,1
Oracle HTTP Server Powered by Apache/1.3.22 (Win32) PHP/4.4.0 mod_plsql/3.0.9.8.3b mod_ssl/2.8.5 OpenSSL/0.9.6b mod_fastcgi/2.2.12 mod_oprocmgr/1.0 mod_perl/1.25,1
Apache/2.2.26 (Win32) mod_ssl/2.2.26 OpenSSL/1.0.1i SVN/1.8.11 DAV/2,1
Microsoft-Cassini/1.0.0.0,1
Apache/2.2.14 (Unix) mod_ssl/2.2.14 OpenSSL/0.9.8e-fips-rhel5 DAV/2 PHP/5.3.0,1
Microsoft-WinCE/6.00,1
nginx + Phusion Passenger 5.0.30,1
Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.5,1
Apache/2.2.27 (Unix) mod_ssl/2.2.27 OpenSSL/1.0.1e-fips mod_antiloris/0.4,1
